question,choices,answer,subject,explaination
What is the maximum power spectrum density (PSD) allowed in the 5350-5470 MHz range in Europe?,"['10 dBm/MHz', '11 dBm/MHz', '17 dBm/MHz', '23 dBm/MHz', '30 dBm/MHz']",2,Standards overview,The maximum power spectrum density (PSD) allowed in the 5350-5470 MHz range in Europe is 17 dBm/MHz.
Which technology was introduced in 3G systems to improve video and audio streaming capabilities?,"['Gaussian Minimum Shift Keying (GMSK)', 'Frequency Modulation (FM)', 'Wideband Code Division Multiple Access (W-CDMA)', 'Orthogonal Frequency-Division Multiplexing (OFDM)', 'Multiple-Input Multiple-Output (MIMO)']",2,Standards overview,Wideband Code Division Multiple Access (W-CDMA) was introduced in 3G systems to improve video and audio streaming capabilities.
What is the relationship between energy efficiency (EE) and spectral efficiency (SE) in hybrid beamforming structures at mm-wave frequencies?,"['There is an optimal number of RF chains achieving maximal EE for any given SE', 'EE and SE have a linear relationship', 'EE increases with increasing SE', 'EE decreases with increasing SE']",0,Research publications,There is an optimal number of RF chains in hybrid beamforming structures at mm-wave frequencies that achieves the maximal energy efficiency (EE) for any given spectral efficiency (SE).
What does GFSK stand for in the context of frequency shift keying? [IEEE 802.11],"['Gaussian Fractional Shift Keying', 'Gaussian Frequency Scaling Keying', 'Gaussian Frequency Shift Keying', 'Generalized Frequency Shift Keying', 'Gradual Frequency Scaling Keying']",2,Standards specifications,GFSK stands for Gaussian Frequency Shift Keying in the context of frequency shift keying.
What is the definition of RAN user plane congestion?,"['Demand for RAN resources exceeds the available capacity for user data transfer', 'Demand for user data transfer exceeds the available RAN resources', 'Demand for RAN resources exceeds the available capacity for control signaling', 'Demand for control signaling exceeds the available RAN resources']",0,Lexicon,RAN user plane congestion refers to a situation where the demand for RAN resources to transfer user data exceeds the available RAN capacity for a significant period of time.
"In the generation of electromagnetic waves, an oscillating electric dipole is known as a _________.","[""Einstein's dipole"", ""Maxwell's dipole"", ""Faraday's dipole"", ""Lorentz's dipole"", 'Hertzian dipole']",4,Research publications,An oscillating electric dipole is known as a Hertzian dipole.
What is a limitation of Global Navigation Satellite Systems (GNSS) in emergency localization?,"['Deliver sub-meter localization accuracy', 'Are integrated in the B5G network infrastructure', 'Suffer from shadowing introduced by foliage and obstacles', 'All of the above', 'None of the above']",2,Research publications,"GNSSs in emergency localization suffer from shadowing introduced by foliage, bodies of water, wooden obstacles, etc."
Which precoding technique depends on the pseudo-inverse of the channel estimate?,"['Tree-based detection', 'Matched Filter (MF)', 'Vector Perturbation (VP)', 'Conditional MMSE', 'Zero Forcing (ZF)']",4,Research publications,ZF precoding relies on the pseudo-inverse of the channel estimate to invert the channel.
What is the purpose of the User Configuration mechanism in the IMS Multimedia Telephony service? [3GPP Release 17],"['To support synchronization of communication logs between multiple devices', 'To indicate which identities are active or inactive on a specific UE', 'To provide user preferences for media handling capabilities', 'To modify the Caller Identity Analytics function']",1,Standards specifications,The User Configuration mechanism allows an authorized user to indicate which identities are active or inactive on a specific UE.
What is an overlapping basic service set (OBSS)?,"['An FT method in which the STA communicates with the target AP via the current AP', 'A station that is not contained within an access point (AP)', 'A numerical value used in cryptographic operations associated with a given cryptographic key', 'An FT method in which the STA communicates over a wireless medium link to the target AP', ""A basic service set (BSS) operating on the same channel as the station's (STA's) BSS""]",4,Lexicon,An overlapping basic service set (OBSS) is a basic service set (BSS) operating on the same channel as the station's (STA's) BSS and within its basic service area (BSA).
Which RFID (radio-frequency identification) systems allow tags to communicate with each other directly?,"['Active RFID systems', 'Gen2 RFID systems', 'Passive RFID systems', 'Semi-passive RFID systems', 'Bistatic RFID systems']",2,Research overview,Passive RFID systems allow tags to communicate with each other directly by backscattering signals.
What are the two ways to close a TCP (Transmission Control Protocol) connection?,"['To recover from the loss of a segment by retransmitting it at timed intervals', 'To govern the amount of data dispatched by a sending TCP', 'To allow multiple ULPs within a single host and multiple processes in a ULP to use TCP simultaneously', 'To synchronize and initialize the mechanism information between two ULPs', 'To close the connection either gracefully through a three-way handshake or through an abort']",4,Research publications,"A TCP connection can be closed either gracefully through a three-way handshake to complete data exchange and coordinate closure between the TCPs, or through an abort which does not allow coordination and may result in the loss of unacknowledged data."
